"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"311180 Canápolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12201;-;-;-;-;-;-;-;-;-;-;12201
"311200 Candeias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14888;-;-;-;-;-;-;-;-;-;-;14888
"311205 Cantagalo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4551;-;-;-;-;-;-;-;-;-;-;4551
"311210 Caparaó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5451;-;-;-;-;-;-;-;-;-;-;5451
"311220 Capela Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4634;-;-;-;-;-;-;-;-;-;-;4634
"311230 Capelinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38057;-;-;-;-;-;-;-;-;-;-;38057
"311240 Capetinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6890;-;-;-;-;-;-;-;-;-;-;6890
"311250 Capim Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9826;-;-;-;-;-;-;-;-;-;-;9826
"311260 Capinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16234;-;-;-;-;-;-;-;-;-;-;16234
"311265 Capitão Andrade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5514;-;-;-;-;-;-;-;-;-;-;5514
"311270 Capitão Enéas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15313;-;-;-;-;-;-;-;-;-;-;15313
"311280 Capitólio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8663;-;-;-;-;-;-;-;-;-;-;8663
"311290 Caputira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9308;-;-;-;-;-;-;-;-;-;-;9308
"311300 Caraí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23780;-;-;-;-;-;-;-;-;-;-;23780
"311310 Caranaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3166;-;-;-;-;-;-;-;-;-;-;3166
"311320 Carandaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25669;-;-;-;-;-;-;-;-;-;-;25669
"311330 Carangola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33011;-;-;-;-;-;-;-;-;-;-;33011
"311340 Caratinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92603;-;-;-;-;-;-;-;-;-;-;92603
"311350 Carbonita";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9414;-;-;-;-;-;-;-;-;-;-;9414
"311360 Careaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6792;-;-;-;-;-;-;-;-;-;-;6792
"311370 Carlos Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18674;-;-;-;-;-;-;-;-;-;-;18674
"311380 Carmésia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2646;-;-;-;-;-;-;-;-;-;-;2646
"311390 Carmo da Cachoeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12182;-;-;-;-;-;-;-;-;-;-;12182
"311400 Carmo da Mata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11511;-;-;-;-;-;-;-;-;-;-;11511
"311410 Carmo de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14947;-;-;-;-;-;-;-;-;-;-;14947
"311420 Carmo do Cajuru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22693;-;-;-;-;-;-;-;-;-;-;22693
"311430 Carmo do Paranaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30334;-;-;-;-;-;-;-;-;-;-;30334
"311440 Carmo do Rio Claro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21268;-;-;-;-;-;-;-;-;-;-;21268
"311450 Carmópolis de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19559;-;-;-;-;-;-;-;-;-;-;19559
"311455 Carneirinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10066;-;-;-;-;-;-;-;-;-;-;10066
"311460 Carrancas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4049;-;-;-;-;-;-;-;-;-;-;4049
"311470 Carvalhópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3597;-;-;-;-;-;-;-;-;-;-;3597
"311480 Carvalhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4461;-;-;-;-;-;-;-;-;-;-;4461
"311490 Casa Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2254;-;-;-;-;-;-;-;-;-;-;2254
"311500 Cascalho Rico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3092;-;-;-;-;-;-;-;-;-;-;3092
"311510 Cássia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17740;-;-;-;-;-;-;-;-;-;-;17740
"311530 Cataguases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75540;-;-;-;-;-;-;-;-;-;-;75540
"311535 Catas Altas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5421;-;-;-;-;-;-;-;-;-;-;5421
"311540 Catas Altas da Noruega";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3653;-;-;-;-;-;-;-;-;-;-;3653
"311545 Catuji";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6257;-;-;-;-;-;-;-;-;-;-;6257
"311547 Catuti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4965;-;-;-;-;-;-;-;-;-;-;4965
"311550 Caxambu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21610;-;-;-;-;-;-;-;-;-;-;21610
"311560 Cedro do Abaeté";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1157;-;-;-;-;-;-;-;-;-;-;1157
"311570 Central de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7046;-;-;-;-;-;-;-;-;-;-;7046
"311580 Centralina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10346;-;-;-;-;-;-;-;-;-;-;10346
"311590 Chácara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3186;-;-;-;-;-;-;-;-;-;-;3186
"311600 Chalé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5699;-;-;-;-;-;-;-;-;-;-;5699
"311610 Chapada do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15345;-;-;-;-;-;-;-;-;-;-;15345
"311615 Chapada Gaúcha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13953;-;-;-;-;-;-;-;-;-;-;13953
"311620 Chiador";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2671;-;-;-;-;-;-;-;-;-;-;2671
"311630 Cipotânea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6799;-;-;-;-;-;-;-;-;-;-;6799
"311640 Claraval";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4864;-;-;-;-;-;-;-;-;-;-;4864
"311650 Claro dos Poções";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7514;-;-;-;-;-;-;-;-;-;-;7514
"311660 Cláudio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28859;-;-;-;-;-;-;-;-;-;-;28859
"311670 Coimbra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7594;-;-;-;-;-;-;-;-;-;-;7594
"311680 Coluna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8841;-;-;-;-;-;-;-;-;-;-;8841
"311690 Comendador Gomes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3120;-;-;-;-;-;-;-;-;-;-;3120
"311700 Comercinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6774;-;-;-;-;-;-;-;-;-;-;6774
"311710 Conceição da Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10322;-;-;-;-;-;-;-;-;-;-;10322
"311520 Conceição da Barra de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3946;-;-;-;-;-;-;-;-;-;-;3946
"311730 Conceição das Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28346;-;-;-;-;-;-;-;-;-;-;28346
"311720 Conceição das Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2813;-;-;-;-;-;-;-;-;-;-;2813
"311740 Conceição de Ipanema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4578;-;-;-;-;-;-;-;-;-;-;4578
"311750 Conceição do Mato Dentro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17773;-;-;-;-;-;-;-;-;-;-;17773
"311760 Conceição do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5533;-;-;-;-;-;-;-;-;-;-;5533
"311770 Conceição do Rio Verde";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13684;-;-;-;-;-;-;-;-;-;-;13684
"311780 Conceição dos Ouros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11748;-;-;-;-;-;-;-;-;-;-;11748
"311783 Cônego Marinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7686;-;-;-;-;-;-;-;-;-;-;7686
"311787 Confins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6800;-;-;-;-;-;-;-;-;-;-;6800
"311790 Congonhal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12082;-;-;-;-;-;-;-;-;-;-;12082
"311800 Congonhas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55309;-;-;-;-;-;-;-;-;-;-;55309
"311810 Congonhas do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5046;-;-;-;-;-;-;-;-;-;-;5046
"311820 Conquista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6969;-;-;-;-;-;-;-;-;-;-;6969
"311830 Conselheiro Lafaiete";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;129606;-;-;-;-;-;-;-;-;-;-;129606
"311840 Conselheiro Pena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22949;-;-;-;-;-;-;-;-;-;-;22949
"311850 Consolação";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1784;-;-;-;-;-;-;-;-;-;-;1784
"311860 Contagem";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668949;-;-;-;-;-;-;-;-;-;-;668949
"311870 Coqueiral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9128;-;-;-;-;-;-;-;-;-;-;9128
"311880 Coração de Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26611;-;-;-;-;-;-;-;-;-;-;26611
"311890 Cordisburgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8897;-;-;-;-;-;-;-;-;-;-;8897
"311900 Cordislândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3542;-;-;-;-;-;-;-;-;-;-;3542
"311910 Corinto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23668;-;-;-;-;-;-;-;-;-;-;23668
"311920 Coroaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9943;-;-;-;-;-;-;-;-;-;-;9943
"311930 Coromandel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27966;-;-;-;-;-;-;-;-;-;-;27966
"311940 Coronel Fabriciano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110290;-;-;-;-;-;-;-;-;-;-;110290
"311950 Coronel Murta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9215;-;-;-;-;-;-;-;-;-;-;9215
"311960 Coronel Pacheco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3090;-;-;-;-;-;-;-;-;-;-;3090
"311970 Coronel Xavier Chaves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3441;-;-;-;-;-;-;-;-;-;-;3441
"311980 Córrego Danta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3191;-;-;-;-;-;-;-;-;-;-;3191
"311990 Córrego do Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3694;-;-;-;-;-;-;-;-;-;-;3694
"311995 Córrego Fundo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6382;-;-;-;-;-;-;-;-;-;-;6382
"312000 Córrego Novo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2728;-;-;-;-;-;-;-;-;-;-;2728
"312010 Couto de Magalhães de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4423;-;-;-;-;-;-;-;-;-;-;4423
"312015 Crisólita";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6760;-;-;-;-;-;-;-;-;-;-;6760
"312020 Cristais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12931;-;-;-;-;-;-;-;-;-;-;12931
"312030 Cristália";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5982;-;-;-;-;-;-;-;-;-;-;5982
"312040 Cristiano Otoni";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5156;-;-;-;-;-;-;-;-;-;-;5156
"312050 Cristina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10226;-;-;-;-;-;-;-;-;-;-;10226
"312060 Crucilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5054;-;-;-;-;-;-;-;-;-;-;5054
"312070 Cruzeiro da Fortaleza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3639;-;-;-;-;-;-;-;-;-;-;3639
"312080 Cruzília";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15474;-;-;-;-;-;-;-;-;-;-;15474
"312083 Cuparaque";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5005;-;-;-;-;-;-;-;-;-;-;5005
"312087 Curral de Dentro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7799;-;-;-;-;-;-;-;-;-;-;7799
"312090 Curvelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80616;-;-;-;-;-;-;-;-;-;-;80616
"312100 Datas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5421;-;-;-;-;-;-;-;-;-;-;5421
"312110 Delfim Moreira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8016;-;-;-;-;-;-;-;-;-;-;8016
"312120 Delfinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7131;-;-;-;-;-;-;-;-;-;-;7131
"312125 Delta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10768;-;-;-;-;-;-;-;-;-;-;10768
"312130 Descoberto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5029;-;-;-;-;-;-;-;-;-;-;5029
"312140 Desterro de Entre Rios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7255;-;-;-;-;-;-;-;-;-;-;7255
"312150 Desterro do Melo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2884;-;-;-;-;-;-;-;-;-;-;2884
"312160 Diamantina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47825;-;-;-;-;-;-;-;-;-;-;47825
"312170 Diogo de Vasconcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3790;-;-;-;-;-;-;-;-;-;-;3790
"312180 Dionísio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7609;-;-;-;-;-;-;-;-;-;-;7609
"312190 Divinésia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3424;-;-;-;-;-;-;-;-;-;-;3424
"312200 Divino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19976;-;-;-;-;-;-;-;-;-;-;19976
"312210 Divino das Laranjeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4974;-;-;-;-;-;-;-;-;-;-;4974
"312220 Divinolândia de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7614;-;-;-;-;-;-;-;-;-;-;7614
"312230 Divinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240408;-;-;-;-;-;-;-;-;-;-;240408
"312235 Divisa Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6868;-;-;-;-;-;-;-;-;-;-;6868
"312240 Divisa Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6025;-;-;-;-;-;-;-;-;-;-;6025
"312245 Divisópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11211;-;-;-;-;-;-;-;-;-;-;11211
"312247 Dom Bosco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3655;-;-;-;-;-;-;-;-;-;-;3655
"312250 Dom Cavati";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5048;-;-;-;-;-;-;-;-;-;-;5048
"312260 Dom Joaquim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4181;-;-;-;-;-;-;-;-;-;-;4181
"312270 Dom Silvério";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5232;-;-;-;-;-;-;-;-;-;-;5232
"312280 Dom Viçoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2997;-;-;-;-;-;-;-;-;-;-;2997
"312290 Dona Eusébia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6619;-;-;-;-;-;-;-;-;-;-;6619
"312300 Dores de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10223;-;-;-;-;-;-;-;-;-;-;10223
"312310 Dores de Guanhães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5154;-;-;-;-;-;-;-;-;-;-;5154
"312320 Dores do Indaiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13427;-;-;-;-;-;-;-;-;-;-;13427
"312330 Dores do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4230;-;-;-;-;-;-;-;-;-;-;4230
"312340 Doresópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1533;-;-;-;-;-;-;-;-;-;-;1533
"312350 Douradoquara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1912;-;-;-;-;-;-;-;-;-;-;1912
"312352 Durandé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7870;-;-;-;-;-;-;-;-;-;-;7870
"312360 Elói Mendes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28320;-;-;-;-;-;-;-;-;-;-;28320
"312370 Engenheiro Caldas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11202;-;-;-;-;-;-;-;-;-;-;11202
"312380 Engenheiro Navarro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7241;-;-;-;-;-;-;-;-;-;-;7241
"312385 Entre Folhas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5377;-;-;-;-;-;-;-;-;-;-;5377
"312390 Entre Rios de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15380;-;-;-;-;-;-;-;-;-;-;15380
"312400 Ervália";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18958;-;-;-;-;-;-;-;-;-;-;18958
"312410 Esmeraldas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71551;-;-;-;-;-;-;-;-;-;-;71551
"312420 Espera Feliz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25122;-;-;-;-;-;-;-;-;-;-;25122
"312430 Espinosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31610;-;-;-;-;-;-;-;-;-;-;31610
"312440 Espírito Santo do Dourado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4710;-;-;-;-;-;-;-;-;-;-;4710
"312450 Estiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11386;-;-;-;-;-;-;-;-;-;-;11386
"312460 Estrela Dalva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2325;-;-;-;-;-;-;-;-;-;-;2325
"312470 Estrela do Indaiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3491;-;-;-;-;-;-;-;-;-;-;3491
"312480 Estrela do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8018;-;-;-;-;-;-;-;-;-;-;8018
"312490 Eugenópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11330;-;-;-;-;-;-;-;-;-;-;11330
"312500 Ewbank da Câmara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3923;-;-;-;-;-;-;-;-;-;-;3923
"312510 Extrema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36951;-;-;-;-;-;-;-;-;-;-;36951
"312520 Fama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2376;-;-;-;-;-;-;-;-;-;-;2376
"312530 Faria Lemos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3221;-;-;-;-;-;-;-;-;-;-;3221
"312540 Felício dos Santos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4704;-;-;-;-;-;-;-;-;-;-;4704
"312560 Felisburgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7504;-;-;-;-;-;-;-;-;-;-;7504
"312570 Felixlândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15433;-;-;-;-;-;-;-;-;-;-;15433
"312580 Fernandes Tourinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3466;-;-;-;-;-;-;-;-;-;-;3466
"312590 Ferros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9696;-;-;-;-;-;-;-;-;-;-;9696
"312595 Fervedouro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11054;-;-;-;-;-;-;-;-;-;-;11054
"312600 Florestal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7533;-;-;-;-;-;-;-;-;-;-;7533
"312610 Formiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67822;-;-;-;-;-;-;-;-;-;-;67822
"312620 Formoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9688;-;-;-;-;-;-;-;-;-;-;9688
"312630 Fortaleza de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4437;-;-;-;-;-;-;-;-;-;-;4437
"312640 Fortuna de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2967;-;-;-;-;-;-;-;-;-;-;2967
"312650 Francisco Badaró";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10321;-;-;-;-;-;-;-;-;-;-;10321
"312660 Francisco Dumont";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5242;-;-;-;-;-;-;-;-;-;-;5242
"312670 Francisco Sá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26369;-;-;-;-;-;-;-;-;-;-;26369
"312675 Franciscópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5338;-;-;-;-;-;-;-;-;-;-;5338
"312680 Frei Gaspar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5869;-;-;-;-;-;-;-;-;-;-;5869
"312690 Frei Inocêncio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9664;-;-;-;-;-;-;-;-;-;-;9664
"312695 Frei Lagonegro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3487;-;-;-;-;-;-;-;-;-;-;3487
"312700 Fronteira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18492;-;-;-;-;-;-;-;-;-;-;18492
"312705 Fronteira dos Vales";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4561;-;-;-;-;-;-;-;-;-;-;4561
"312707 Fruta de Leite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5299;-;-;-;-;-;-;-;-;-;-;5299
"312710 Frutal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60012;-;-;-;-;-;-;-;-;-;-;60012
"312720 Funilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4392;-;-;-;-;-;-;-;-;-;-;4392
"312730 Galiléia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6790;-;-;-;-;-;-;-;-;-;-;6790
"312733 Gameleiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5096;-;-;-;-;-;-;-;-;-;-;5096
"312735 Glaucilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3164;-;-;-;-;-;-;-;-;-;-;3164
"312737 Goiabeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3378;-;-;-;-;-;-;-;-;-;-;3378
"312738 Goianá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3990;-;-;-;-;-;-;-;-;-;-;3990
"312740 Gonçalves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4355;-;-;-;-;-;-;-;-;-;-;4355
"312750 Gonzaga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6171;-;-;-;-;-;-;-;-;-;-;6171
"312760 Gouveia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11818;-;-;-;-;-;-;-;-;-;-;11818
"312770 Governador Valadares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281046;-;-;-;-;-;-;-;-;-;-;281046
"312780 Grão Mogol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15890;-;-;-;-;-;-;-;-;-;-;15890
"312790 Grupiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1387;-;-;-;-;-;-;-;-;-;-;1387
"312800 Guanhães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34573;-;-;-;-;-;-;-;-;-;-;34573
"312810 Guapé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14258;-;-;-;-;-;-;-;-;-;-;14258
"312820 Guaraciaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10315;-;-;-;-;-;-;-;-;-;-;10315
"312825 Guaraciama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4989;-;-;-;-;-;-;-;-;-;-;4989
"312830 Guaranésia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19017;-;-;-;-;-;-;-;-;-;-;19017
"312840 Guarani";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8918;-;-;-;-;-;-;-;-;-;-;8918
"312850 Guarará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3775;-;-;-;-;-;-;-;-;-;-;3775
"312860 Guarda-Mor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6569;-;-;-;-;-;-;-;-;-;-;6569
"312870 Guaxupé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52078;-;-;-;-;-;-;-;-;-;-;52078
"312880 Guidoval";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7051;-;-;-;-;-;-;-;-;-;-;7051
